id,met_object_id,title,artist_display_name,artist_display_bio,artist_nationality,artist_gender,object_date,object_begin_date,object_end_date,culture,period,dynasty,medium,dimensions,department,classification,object_name,primary_image,is_public_domain,constituents,synced_at,created_at,updated_at
1,1,One-dollar Liberty Head Coin,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",American,,1853,1853,1853,,,,Gold,Dimensions unavailable,The American Wing,,Coin,,False,"[{'constituentID': 164292, 'role': 'Maker', 'name': 'James Barton Longacre', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011409', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3806459', 'gender': ''}]",2026-01-01 08:35:46.895579,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
2,2,Ten-dollar Liberty Head Coin,Christian Gobrecht,1785–1844,American,,1901,1901,1901,,,,Gold,Dimensions unavailable,The American Wing,,Coin,,False,"[{'constituentID': 1079, 'role': 'Maker', 'name': 'Christian Gobrecht', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500077295', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q5109648', 'gender': ''}]",2026-01-01 08:35:46.895699,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
3,3,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895721,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
4,4,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895732,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
5,5,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895746,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
6,6,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895759,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
7,7,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895774,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
8,8,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895790,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
9,9,Two-and-a-Half Dollar Coin,,,,,1909–27,1909,1927,,,,Gold,Diam. 11/16 in. (1.7 cm),The American Wing,,Coin,,False,,2026-01-01 08:35:46.895805,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
10,10,Two-and-a-half-dollar Indian Head Coin,Bela Lyon Pratt,1867–1917,American,,1912,1912,1912,,,,Gold,Dimensions unavailable,The American Wing,,Coin,,False,"[{'constituentID': 1080, 'role': 'Maker', 'name': 'Bela Lyon Pratt', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500095555', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q4881787', 'gender': ''}]",2026-01-01 08:35:46.895822,2026-01-01 08:35:48.214173,2026-01-01 08:35:48.214173
